Nodes:
name	x	y	n	start	end
1	565	575	0	0	9223372036854775807
2	25	185	0	0	9223372036854775807
3	345	750	0	0	9223372036854775807
4	945	685	0	0	9223372036854775807
5	845	655	0	0	9223372036854775807
6	880	660	0	0	9223372036854775807
7	25	230	0	0	9223372036854775807
8	525	1000	2	0	9223372036854775807
9	580	1175	0	0	9223372036854775807
10	650	1130	0	0	9223372036854775807
11	1605	620	0	0	9223372036854775807
12	1220	580	0	0	9223372036854775807
13	1465	200	0	0	9223372036854775807
14	1530	5	0	0	9223372036854775807
15	845	680	0	0	9223372036854775807
Edges:
name1	name2	weight
1	2	666
1	3	281
1	4	395
1	5	291
1	6	326
1	7	640
1	8	426
1	9	600
1	10	561
1	11	1040
1	12	655
1	13	975
1	14	1120
1	15	299
2	3	649
2	4	1047
2	5	945
2	6	978
2	7	45
2	8	956
2	9	1134
2	10	1132
2	11	1638
2	12	1258
2	13	1440
2	14	1515
2	15	957
3	4	603
3	5	508
3	6	542
3	7	610
3	8	308
3	9	485
3	10	487
3	11	1266
3	12	891
3	13	1247
3	14	1399
3	15	504
4	5	104
4	6	69
4	7	1026
4	8	525
4	9	611
4	10	533
4	11	663
4	12	294
4	13	711
4	14	897
4	15	100
5	6	35
5	7	923
5	8	470
5	9	583
5	10	513
5	11	760
5	12	382
5	13	769
5	14	944
5	15	25
6	7	957
6	8	491
6	9	596
6	10	523
6	11	726
6	12	349
6	13	744
6	14	922
6	15	40
7	8	918
7	9	1095
7	10	1095
7	11	1627
7	12	1245
7	13	1440
7	14	1521
7	15	935
8	9	183
8	10	180
8	11	1144
8	12	812
8	13	1234
8	14	1414
8	15	452
9	10	83
9	11	1165
9	12	873
9	13	1316
9	14	1507
9	15	561
10	11	1082
10	12	792
10	13	1236
10	14	1428
10	15	490
11	12	387
11	13	442
11	14	619
11	15	762
12	13	452
12	14	653
12	15	388
13	14	205
13	15	784
14	15	961
